ID,d_13C,d_15N,d_2H,organism,location,month
EF4-A22-AL,-35.23,1.55,-162.79,algae,creek,august
FU-A22-AL,-37.46,1.86,-117.9,algae,creek,august
WU-A22-AL,-32.43,1.83,-133.36,algae,creek,august
EF4-A22-LE,-29.4,-0.92,-131.04,leaves,creek,august
FU-A22-LE,-30.23,0.39,-135.75,leaves,creek,august
WU-A22-LE,-28.85,0.93,-123.46,leaves,creek,august
A22-OP-49-0.5-mf,-27.08,-0.13,,mayfly,creek,august
A22-OP-49-1-mf,-28.28,0.07,,mayfly,creek,august
A22-OP-49-2-mf,-29.63,0.82,,mayfly,creek,august
EF4-A22-MUSS,-30.32,1.75,-124.06,mussel,creek,august
WD-A22-MUSS-1,-32.78,3.76,-117.38,mussel,creek,august
WD-A22-MUSS-2,-33.84,4.03,-110.01,mussel,creek,august
EF4-A22-ODO,-32.72,4.02,-113.35,odonate,creek,august
A22-OP-49-1-odo-1,-29.49,1.79,,odonate,creek,august
A22-OP-49-1-odo-2,-29.93,1.4,,odonate,creek,august
A22-OP-49-2-odo-1,-30.32,1.56,,odonate,creek,august
A22-OP-49-2-odo-2,-31.59,1.32,,odonate,creek,august
A22-OP-49-3-odo,-34.62,0.83,,odonate,creek,august
EF1-A22-Al,-47.13,0.72,-127.55,algae,lake,august
EF2-A22-AL,-36.79,-2.27,-112.55,algae,lake,august
EF3-A22-AL,-25.98,-1.68,-235.84,algae,lake,august
EF5-A22-AL,-29.87,0.84,-105.84,algae,lake,august
EF1-A22-TB,-30.02,0.2,-110.88,caterpillar,lake,august
EF1-A22-LE,-28.84,-0.42,-138.15,leaves,lake,august
EF2-A22-LE,-30.07,-2.23,-137.31,leaves,lake,august
EF3-A22-LE,-29.07,-1.08,-130.83,leaves,lake,august
EF5-A22-LE,-28.54,-1.32,-138.29,leaves,lake,august
A22-OP-44-0.5-mf,-21.63,-0.2,,mayfly,lake,august
A22-OP-44-1-mf,-22.58,0.64,,mayfly,lake,august
A22-OP-51-0.5-mf,-22.36,-1.06,,mayfly,lake,august
A22-OP-51-1-mf,-23.35,0.16,,mayfly,lake,august
A22-OP-51-2-mf,-25.43,1.39,,mayfly,lake,august
A22-OP-51-4-mf,-25.52,-0.06,,mayfly,lake,august
A22-OP-47-0.5-mf,-22.93,-0.28,,mayfly,lake,august
EF1-A22-MUSS,-30.2,1.13,-130.01,mussel,lake,august
EF3-A22-MUSS,-29.93,1.62,-122.11,mussel,lake,august
EF2-A22-ODO,-30.67,2.76,-119.27,odonate,lake,august
A22-OP-44-0.5-odo-1,-23.84,0.5,,odonate,lake,august
A22-OP-44-0.5-odo-2,-25.9,1.4,,odonate,lake,august
A22-OP-51-0.5-odo,-14.64,0.08,,odonate,lake,august
A22-OP-51-1-odo-1,-19.15,1.08,,odonate,lake,august
A22-OP-51-1-odo-2,-14.75,0.58,,odonate,lake,august
A22-OP-51-1-odo-3,-20.54,0.26,,odonate,lake,august
A22-OP-51-2-odo-1,-17.89,0.24,,odonate,lake,august
A22-OP-51-2-odo-2,-22.15,0.56,,odonate,lake,august
A22-OP-51-2-odo-3,-20.12,0.57,,odonate,lake,august
A22-OP-51-3-odo-1,-24.09,2.11,,odonate,lake,august
A22-OP-51-3-odo-2,-23.38,1.3,,odonate,lake,august
A22-OP-51-3-odo-3,-19.93,1.5,,odonate,lake,august
A22-OP-51-4-odo-1,-21.26,-0.1,,odonate,lake,august
A22-OP-51-4-odo-2,-19.93,1.99,,odonate,lake,august
A22-OP-46-3-odo,-24.63,2.33,,odonate,lake,august
A22-OP-46-4-odo-1,-25.83,3.35,,odonate,lake,august
A22-OP-46-4-odo-3,-26.84,2.14,,odonate,lake,august
A22-OP-46-4-odo-2,-26.99,2.04,,odonate,lake,august
A22-OP-47-0.5-odo,-24.67,2.23,,odonate,lake,august
EF4-22-AL,-30.08,0.12,-133.24,algae,creek,may
FU-22-AL,-31.77,0.97,-134.4,algae,creek,may
WD-22-AL,-73.23,0.9,-123.83,algae,creek,may
EF4-22-LE,-28.24,-1.34,-101.6,leaves,creek,may
FU-22-LE,-28.64,-0.63,-116.26,leaves,creek,may
WD-22-LE,-26.97,0.82,-100.96,leaves,creek,may
EF4-22-MF,-34.4,2.1,-152.22,mayfly,creek,may
M22-OP-49-mf-1,-31.78,1.06,,mayfly,creek,may
WD-22-MUSS,-33.43,4.04,-115.09,mussel,creek,may
M22-OP-MUS-22,-30.9,2.27,,mussel,creek,may
M22-OP-MUS-23,-30.56,2.5,,mussel,creek,may
M22-OP-MUS-19,-31.05,1.62,,mussel,creek,may
EF4-22-ODO,-32.31,4.3,-132.25,odonate,creek,may
M22-OP-49-odo-1,-29.84,2.15,,odonate,creek,may
M22-OP-49-odo-2,-35.25,2.44,,odonate,creek,may
M22-OP-49-mf-2,-32.06,0.83,,mayfly,creek,may
EF2-22-AL,-28.26,-1.11,-119.8,algae,lake,may
EF2-22-LE,-29.75,-2.69,-107.26,leaves,lake,may
M22-OP-51-mf,-22.32,-0.91,,mayfly,lake,may
M22-OP-44-mf-2,-25.62,0.93,,mayfly,lake,may
M22-OP-44-mf-1,-25.5,1,,mayfly,lake,may
M22-OP-46-mf-1,-26.84,0.81,,mayfly,lake,may
M22-OP-46-mf-2,-25.73,3.32,,mayfly,lake,may
M22-OP-46-mf-3,-24.2,0.53,,mayfly,lake,may
M22-OP-47-mf-1,-28.17,1.14,,mayfly,lake,may
M22-OP-47-mf-2,-28.5,0.09,,mayfly,lake,may
M22-OP-MUS-25,-28.85,0.13,,mussel,lake,may
M22-OP-MUS-26,-28.44,0.81,,mussel,lake,may
M22-OP-MUS-27,-28.47,1.38,,mussel,lake,may
M22-OP-MUS-28,-28.67,0.84,,mussel,lake,may
M22-OP-MUS-29,-27.96,1.81,,mussel,lake,may
M22-OP-MUS-31,-28.64,0.27,,mussel,lake,may
M22-OP-MUS-32,-28.81,0.92,,mussel,lake,may
M22-OP-MUS-33,-28.4,1,,mussel,lake,may
M22-OP-MUS-34,-28.53,1.35,,mussel,lake,may
M22-OP-MUS-35,-29.18,0.07,,mussel,lake,may
M22-OP-MUS-38,-28.06,0.2,,mussel,lake,may
M22-OP-MUS-10,-28.69,1.02,,mussel,lake,may
EF1-22-ODO,-29.66,3.66,-118.52,odonate,lake,may
EF2-22-ODO,-29.89,2.58,-110.35,odonate,lake,may
EF3-22-ODO,-30.17,2.53,-114.18,odonate,lake,may
M22-OP-51-odo,-18.5,2.55,,odonate,lake,may
M22-OP-44-odo,-25.66,1.8,,odonate,lake,may
M22-OP-46-odo,-24.66,2.25,,odonate,lake,may
